title,author_type,content,rating,pros,cons
Long days but with fun people,QA Tester,"The job can definitely be tedious most of the time. It’s a lot of repetitive work, but the people have been incredible to work with. So if you’re okay with lots of typing and starting at screens and love to do that around fun and energetic like minded people, then I’d say this job is for you.",3,,
"Terrible work environment, Long random hours",Quality Assurance Tester,You essentially walk in every day not knowing when you will be allowed to leave. The people in charge of your shift have no idea what will be sent down to them and in turn down to you. You can be left waiting for up to an hour just to hear if you are clear to leave.,1,Free snacks..,"Time, Well being, instruction is none existent."
Long hours with no compensation...,QA Tester,"Started around a year ago now and I simply cant keep going with it.Not compensated well, Largely forgotten about, communication isnt good among the teams.For the most part, Theres no real motivation to try with this job when youll eventually be let go anyways due to a contractual agreement.",2,"Free Lunch, Time off is super easy to get, Relaxed Work Environment, Nice People","Long hours, mentally draining, No motivation, Not good benefits"
I guess if you really love CoD,QA Game Tester,"I was excited to start working in the gaming industry - ATVI ruined that excitement. Very poor communication, treated testers with no respect, revolving door of idiots. I made some friends, I learned some things, but the job, to me, was generally torture.",3,"Sometimes free food and swag, making friends","constant random OT, bro culture, feeling like a tiny cog"
Ehh,Customer Service Representative,"Good enough part time gig. Time crunching mostly, and the work environment was very negative to any women, especially anyone who was semi attractive at least.",2,,
Impossible to get promoted,"Santa Monica, CA","You do the work of a level way above you only to get paid pennies for what you're achieving. There is also a culture of lower employees being overworked and promised certain benefits (pay raises/promotions/etc) only to find themselves doing the work and two years later, not getting what they were promised. Additionally, there's a pattern of mass employee exits and ZERO backfill, leaving those left behind to pick up a ton of work, which isn't doable or feasible.",2,"If you have a good manager, it helps things a LOT. The people are extremely kind.","Tons of re-orgs, upper management is a mess (don't listen to employees at all), impossible to get promoted"
Toxic Work Environment,Production Worker,"Prejudiced atmosphere, favoritism, nepotism, violence in the workplace, poor management. An overall horrible place to work. If you are a self thinking person and don't need to fit in, then this is not the place for you.",1,Work Schedule,Prejudiced atmosphere
Fun place to work,Quality Assurance Tester,I like working here because there are a wide variety of employees from all backgrounds with many of the same shared interests. I have made alot of friends during my time working here,4,"Free lunch, close to home, flexible with time off.",No room for advancement really.
Below industry standard pay in the highest cost of living area in the country,"Software Engineer, Data Analyst","you cannot afford to work at Blizzard... Everyone I worked with lived with 4-5 co-workers all together in small cramped housing or rental units. The pay is below industry standards and far below the area cost of living. Blizzard feels that it is such a priviledge to work at Blizzard that they can pay far below the gaming industry average salary for any and all positions at all levels. The pay is so far below the area cost of living that everyone who works at Blizzard is basically destitute, and that is considering the 80 hour work weeks with 16-20 hours 7 days a week especially during crunch times before game update release dates. The benefits are not worth the extra cost you have to pay in for.",1,"16 hour average work days 7 days a week during crunch periods lasting for several months, poverty level pay for the area in Irvine California, Management staff are generally family members or friends with no previous management education, experience or training",
Pretty Good,QA Tester,It's okay. Really repetitive and long hours of the same thing but it's testing video games so can't complain to much. If you like videos games and like to hear about the new stuff coming out go for it.,4,,
Nepotism galore at Blizzard,IT Manager,"It's not what you know, it's who you know. Lots of a** kissing at Blizzard to be part of the circle. It's a boys club. Developers are well taken care of. If you are NOT a developer/designer directly making products, you are a step child and expendable. Look elsewhere.",1,None,Nepotism
