title,author_info,rating,pros,cons,helpful
Excellent company,"Jun 1, 2022 - Service Engineer in Miami, FL",5,Excellent company to work for,"None to share, great environment to grow",Be the first to find this review helpful
friendly environment,"May 28, 2022 - Program Manager",5,colleges are friendly and supportive. work-life balanced.,There's not much room for young people to grow up,Be the first to find this review helpful
Great Company,"May 16, 2022 - Summer Intern in Herndon, VA",5,I learned a lot in this company. The team is amazing and it is very supportive. a lot of flexibility.,Sometimes it is hard to make connections with other people.,Be the first to find this review helpful
Sony review,"May 11, 2022 - Anonymous Employee",5,Good pay really solid culture,its not flexible depending on department,Be the first to find this review helpful
no comments,"May 24, 2022 - Senior Research Engineer",2,work with smart people work with cutting edge technology,toxic working environment low paid terrible WLB,Be the first to find this review helpful
Nice,"May 4, 2022 - Anonymous Employee",5,A great place to work,I hate working at this place!,Be the first to find this review helpful
Great work environment,"Apr 26, 2022 - Front End Developer in Johannesburg, MI",5,Salary Work hours Health Care,Benefits Culture Work hours Health Care,Be the first to find this review helpful
Great Place,"Apr 25, 2022 - Director of Development in New York, NY",5,Creative environment that empowers you.,Not many cons to speak of.,Be the first to find this review helpful
Sony GISD,"Mar 30, 2022 - Senior Manager Cybersecurity",2,Sony as a company is great. Benefits are really good. Salaries are good. Sony as a whole cares about it's employees.,GISD (the security group for Sony) is the worst organization to work for. Upper management refuses to make decisions then blames employees for lack of progress. Too many people in the org don't have any understanding of security or good enough IT knowledge to work at this level. Moral is low in most groups. If you are lucky enough to work in a group that actually has high moral it may not last long.,Be the first to find this review helpful
Good company,"Apr 21, 2022 - Programmer Analyst in New York, NY",5,very good company to work,food in the kitchen was not good,Be the first to find this review helpful
Good,"May 3, 2022 - Anonymous Employee",4,good working atmosphere on site,Will have some overtime hours,Be the first to find this review helpful
nice place,"May 2, 2022 - Consultant in New York, NY",3,Office space is very nice,I do not have any,Be the first to find this review helpful
Very good,"Apr 11, 2022 - Product Manager in New York, NY",5,fast promotion with competitive compensation,salary promotion is not that good,Be the first to find this review helpful
