title,author_type,content,rating,pros,cons
"Description: Supply Chain Execution (Warehouse Management, Billing, Labour and Transportation Modules). Infor Supply Chain Execution combines transpor","Cognos Developer/Consultant (Current Employee) - New York, NY - July 27, 2015","• Involved in gathering Business Requirements for new reports. • Developed custom templates, training to team mates how to use custom templates while developing the new reports, Porting already existing reports to use Brand new Templates. • Involved in full life cycle of Cognos BI including installation, configuration of Cognos BI Products, development and maintenance of Cognos Reports, fixing issues, testing and migrated to production. • Developed various types of reports like List Reports, Grouped Reports, Cross tab Reports, Chart Reports, Drill-Down, Drill-Through Reports, Master detail reports, Developed Active Reports, Conditional Formatting, Workspace Dashboards, Active Reports, Standard Templates, Dimensionally Modeled Relational Model (DMR) Reports, Relationally Modeled Relational Model (RMR) Reports and JavaScript. • Development and Maintenance of Framework Manager Models including Dimensionally Modeled Relational model(DMR) and Relationally Modeled Relational model(RMR).",4,"",""
Great atmosphere but it won't be around much longer.,"End User Support Analyst (Former Employee) - Terre Haute, IN - May 12, 2022","Was a really fun place to work and I learned a lot from a friendly and supportive management staff. Unfortunately, the industry is dying and I don't think the place will stay open for more that a few years.",4,"",""
"Death by 10,000 meetings.... The 5000 times your going to have to see the ORG chart in the beginning of a meeting.","Senior Software Engineer (Former Employee) - Rancho Bernardo, CA - January 20, 2022",Was fun while it lasted...Solid work with lots of traveling and trade shows. I worked at SONY (Ranch Bernardo) which has been shut down and also with SONY (San Jose) which was more PR and Marking. We got the job done... When it worked is was amazing how much stuff we could ship.,4,Lots of scopes and equipment....,"Under qualified management, projects and engineers that they had no idea how to do any of the jobs, HR department that filled with passive aggressive low quality management."
Productive and fun place to work at,"Software Engineer (Former Employee) - Bangalore - December 15, 2021",There are pros and cons both for all the companies but this has been my first organization and the best one to start as a fresher. You are given ample opportunities to choose from as to which department you want to enhance your career into. They encourage you by enrolling you into different technical trainings as well to enhance your technical skill,4,"",""
People that I worked with were great. Management bias is obvious.,"Data Engineer (Former Employee) - Bengaluru, Karnataka - December 14, 2021",I have been with them for 5 years and I had awesome team but management and some of the managers can be very biased. Sometimes it was de motivating. If there are managers who understand being professional and unbiased then it would improve a lot of things.,3,Nice people,"Poor management, Not great pay"
Great place to work with PS4,".NET Developer (Former Employee) - Dubai - June 2, 2021","Sony work culture is great. Free transportation, free lunch and even a PS4 to play during breaks. I worked in the IT department which was quite relaxed as we developed applications in .NET, SQL",5,"Free lunch, free transport",Some departments have to work overtime and maybe weekends
Terrible Experience Working in Compliance & Security Team Singapore,"IT Engineer (Former Employee) - Sony Electronics Singapore - March 26, 2021",Senior Manager betrays staff trust. local managers clueless and are like headless chickens. Staff working in Compliance & Security Team not appreciated for quality work and business cost savings initiative. Local Manager appointed to manage the Compliance and Security Team has no technical or Security knowledge to understand IT security. Valuable staffs are leaving the company because of the Japan based manager and local manager. security projects running under them are wasted on Vendor engagements instead of using Staff resources. Overall this team projects are affecting the Companies money as they are wasting it on unwanted engagements,2,good staff benefits.,"longs hours, Bad Compliance & Security Team management."
Great company perks but terrible management,"Scrum Master (Former Employee) - Herndon, VA - February 5, 2021","The company itself had great perks and was great on paper. But, management was terrible in oh so many ways. For example, my boss's boss would not accept any complaints about my boss. Meanwhile my boss would do things like - tell me to hold off on sending out information or starting a new process. Then he would publicly reprimand me for not doing that very thing!He repeatedly told me how important other people on the team were, and that I shouldn't disagree with them because he didn't want them to quit because of me. He denied training to a couple of us, even though there was a per person budget and the training was DIRECTLY related to our job responsibilities. The reason he gave was that he didn't want us to collect certifications and then leave the company. What boss leaves budgeted training money on the table? What boss denies training because sometime in the future the employee may leave the company?",2,"Free snacks, a break room, half day off on Fridays one summer.","Early morning meetings, lots of unnecessary stress, not a lot of diversity in my team."
Job Security,"Software Test Engineer (Former Employee) - Bangalore - January 7, 2021",Good place to work and job security. Management is supportive. Good exposure and supportive teammmates. Good salary. Team building and business meet yearly in good resorts and clubs. Canteen is good.,5,"",""
Not family friendly environment,"Senior Software Design Engineer (Former Employee) - Bangi - July 9, 2020","Good start for freshies. They dont favor married employees. They expect u to stay back everyday. Work culture, they work at night. During day, relaxed because overtimes are paid. Once u have a child, better to find another comp. Nowadays, they prefer hiring through universities. They dont practice and tolerate with family matter. The managers are only concern about their position. The engineers work like a dog. Inhuman. Dont practice good kpi reviews",2,None,Work like a robot.
