title,author_info,rating,pros,cons,helpful
Great,"Mar 7, 2022 - Graduate Student",5,One of the most friendly and chill company. Great work environment. Lovely and helpful colleagues.,Pay is a little less.,Be the first to find this review helpful
Great culture,"Jan 24, 2022 - Product Owner in San Francisco, CA",5,"Fast paced, competitive, great learning opportunities",lower pay rate than competition,Be the first to find this review helpful
Small Studio Designer,"Jan 18, 2022 - Anonymous Employee",5,"Small studio has been great, and the few interactions with Ubisoft corporate have always been pleasant, but few and far between to the point that it is difficult to say if this is the norm.","Long hours, highly performance driven",Be the first to find this review helpful
Undergoing a disruptive reorganization,"Jan 27, 2022 - Manager",1,"Friendly and talented coworkers are fun and easy to work with. I haven't encountered a single angry/difficult person, which is different from most prior employment of mine. The company (as an entity) seems to care about employee well-being.","The reorganization currently happening on the publishing side is an unmitigated disaster. Perhaps unbeknownst to them, Ubi-lifers (20+ yrs with the company), Senior VPs, and others close to the top have pushed many FTEs on the publishing side into a ~ 9-month period of ambiguity. Their political bickering about who gets what team, why, where those teams will sit, etc. is unprofessional and seriously impacting morale and productivity.",2 people found this review helpful
Good,"Dec 14, 2021 - Customer Support Representative in Cary, NC",5,Flexible and they work around your schedule.,It can sometimes be boring,Be the first to find this review helpful
Ubisoft,"Jan 13, 2022 - Product Manager in Winston-Salem, NC",1,Love the people and staff,I have no cons about them,Be the first to find this review helpful
Great!,"Dec 8, 2021 - Creative Executive in Los Angeles, CA",5,"It's honestly great, love the team and culture",Nothing to share here really,Be the first to find this review helpful
Good,"Dec 7, 2021 - Sales",5,All good and good environment,Nothing as such - more flexibilty,Be the first to find this review helpful
good,"Nov 26, 2021 - Senior Gameplay Programmer in San Francisco, CA",4,be passionate about a line,less salary compared to work u done,Be the first to find this review helpful
Good experience,"Nov 20, 2021 - Software Engineer in Chicago, IL",4,Flexibility and making you improve,The 10h days and the intensity,Be the first to find this review helpful
I used to enjoy working here.,"Nov 16, 2021 - Social Support Specialist in Cary, NC",3,"When I first joined Ubisoft, one of the break room microwaves were broken. On it were tons of sticky notes, making jokes about how it was broken and needed repairs, technical assistance haha. Your coworkers? Cool af.","Nobody takes any action.... On anything. It's exhausting. And then there is the assault accusations from developers, as well as current employee retainment issues.",Be the first to find this review helpful
"Stay for the people, leave for the money","Oct 18, 2021 - Senior Specialist, Content & Knowledge in Cary, NC",3,"The people who work in entry-level positions at the CRCs are super passionate and eager to learn. If a workplace community is what you're looking for, then the people are one of the best reasons to work in the CRCs specifically.",The pay for specialist positions and up is nowhere near the market median. You'll wear an abundance of hats and only get paid for one of them. Management often seems tone-deaf to employee needs. They also preach transparency but then offer no insight to reasons for high-impact changes to company processes and infrastructure.,5 people found this review helpful
Fun place,"Oct 13, 2021 - Anonymous Employee",4,"Good work/life balance, fun people to work with","Lots of changes in direction and leadership, unwillingness to challenge the status quo",Be the first to find this review helpful
Great place,"Sep 29, 2021 - Ubisoft in Cary, NC",5,Great environment to work in.,Time off is hard to get at times,Be the first to find this review helpful
Decent Place to work with Good Benefits,"Sep 20, 2021 - Customer Support Representative in Raleigh, NC",4,Good benefits Nice work/life balance Working from home,Upper management doesn't likely care about you but that can be a good or bad thing,Be the first to find this review helpful
It is great,"Sep 12, 2021 - Unreal Engine Developer in Los Angeles, CA",5,"good talent ed ppl, friendly environment and",poor pay poor management for workers,Be the first to find this review helpful
good,"Aug 25, 2021 - Development Tester in Montreal, WI",5,good life and work balance,have not had any in the last year,Be the first to find this review helpful
Dream job with little career growth potential,"Sep 8, 2021 - Community Manager",2,- Work w/ video games and other players - Have cool coworkers,"You're replaceable, you need to do more than work hard to be recognized.",1 person found this review helpful
Not so good experience,"Sep 15, 2021 - Artist",1,It's a good stepping stone for your art career,Underpaid and overworked. Career growth and advancement is slow Environment is toxic,1 person found this review helpful
"Good company, decent compensation","Jul 29, 2021 - Marketing",4,"Great atmosphere and culture within the marketing org at large, everyone willing to chip in and help others","Salary is higher than others in the industry, but still not where it needs to be to gather top talent",Be the first to find this review helpful
Not a good experience,"Jul 29, 2021 - Technical Artist",2,I met a couple good people while working at Ubisoft.,"The project was a complete disaster with no direction, lots of infighting and power struggles between management, HR did not care at all about us, abysmal pay, and complete lack of leadership.",4 people found this review helpful
review,"Jul 15, 2021 - Game Designer in Houston, TX",4,nice company and good ambiance,low salary and tourchers everyone,Be the first to find this review helpful
Nice,"Jul 13, 2021 - Anonymous Employee",5,Non toxic workmates and very talented,Haven't seen any cons yet,Be the first to find this review helpful
I don't know,"Jul 27, 2021 - Game Designer in Canada, KY",3,"You get to work with a big team that you can rely on, you get health benefits",A lot of work to do on and you need to spend your weekends working from home,Be the first to find this review helpful
Overall Positive,"Jul 4, 2021 - Development Tester in San Francisco, CA",4,Great work/life balance Good benefits Casual and friendly work culture,"Salary could be a tad higher, but nothing unreasonable",1 person found this review helpful
Growth opportunity,"Jun 9, 2021 - Customer Support Representative in Raleigh, NC",4,"Company always would rather to hire internally than externally, so there is a surprising amount of opportunity for growth","Grunt work is grunt work, higher ups change tools nonstop and make your life difficult while maintaining that your speed is crucial to your success.",Be the first to find this review helpful
Good Company But not best for first role,"Jun 21, 2021 - Associate Brand Manager in San Francisco, CA",3,Great environment to work in,Non-existent onboarding process for new employees,1 person found this review helpful
Great place to grow professionally.,"Jun 8, 2021 - Senior Director Marketing in San Francisco, CA",4,An organization that invests long term in its employees. AAA products and services. Competitive wages.,Internal politics can get nasty. French company with heavy EU bias. Slow and cumbersome decision-making.,Be the first to find this review helpful
Professional,"Jun 4, 2021 - Marketing Manager in San Francisco, CA",5,"Great staff, goal oriented, and great work environment","Long days, always working on long projects",Be the first to find this review helpful
Wonderful environment,"May 19, 2021 - Community Representative",4,"Community, co workers, relaxing job, all around great",Nothing of pressing issue or concern,Be the first to find this review helpful
Excellent,"May 8, 2021 - Anonymous Employee in La Canada, CA",4,High experience technical support team,Too long time spent in work,Be the first to find this review helpful
Good in the beginning - Meh Long-term,"May 11, 2021 - Customer Service Representative in Raleigh, NC",3,Its easy to get in the door when they are hiring temp agents for busy seasons and if you are good enough you can be converted to full time within a year in some cases. Schedules can be flexible if you can prove you are a top agent.,Low opportunity for real growth. Its not a place you should invest a lot of time and effort in to. You can work your butt off to get a higher position for very little pay off in terms of pay raises. Most of the higher positions up from a basic support agent have more responsibility but very little increased pay. Its best to get what you can out of the job and then move on as soon as you get a better opportunity.,4 people found this review helpful
Great place,"Apr 10, 2021 - Gaming in San Francisco, CA",5,Great place to work at the pay is great,None so far love working for Ubisoft,Be the first to find this review helpful
Good,"Apr 1, 2021 - Technical Support",4,Good management training + pay differential,crazy hours but overall not bad,Be the first to find this review helpful
Good,"Mar 25, 2021 - Game Programmer in New York, NY",5,It’s really good working there,"Nah, i dont find any of them",Be the first to find this review helpful
Should Pay More,"Apr 8, 2021 - Anonymous Employee",3,The Work Environment is fun and you don't carry your work home,The pay is below average,Be the first to find this review helpful
You want this job.,"Mar 20, 2021 - Social Support in Cary, NC",5,"Everyone I engaged with at Ubisoft was amazing, but those I interacted with on the social support team felt like family. I didn't know how lucky I was to be a part of that team. I'm far from perfect and they bent over backwards to make my life easier.","They'll make you realize that working shouldn't be something you do because you have to, it should be something you do because you're driven and passionate.",1 person found this review helpful
Work here if you get the chance!,"Mar 22, 2021 - Technical Support in Cary, NC",5,An amazing group of people who treat you like family!,Standing desks would have been nice to have access to.,Be the first to find this review helpful
"If you need a temporary job with fun co-workers, try everywhere else first","Apr 18, 2021 - Customer Support Representative in Raleigh, NC",1,"Everyone up to the support team leads are some of the nicest kindest folks you'll ever meet. Agents support each other* and leads will always listen without judgement when you need to vent. Support work is rewarding and you have the chance to help unhappy people have fun again. It can be an opportunity to have a fleeting positive moment with someone who might not have another that day. There are vital skills and strategies that can be picked up and refined on the job, especially for anyone who does not have retail and/or food service experience and has no desire to work in those industries. Learn what you can and leave before you get attached. ""It's not a job at Target."" There are worse ways to learn the skills and make connections. When you want to feel human again, you can leave.","You aren't a person, you're not a support robot, you're barely even a number. What you are is your contribution to whether a bunch a bunch of numbers line up with projections. You will be told that you should put the needs of the players first and foremost and then you will be paid less and informed you are leaving money on the table if you do not rush through the work, pushing as much of it off on your coworkers as possible. You will be rushed through training and seldom to never receive any further training. You will be expected to know how to do everything very quickly. You will watch in horror as departments are outsourced to undertrained workers and your clients suffer. You will bear the brunt of these frustrations with next to nothing to show for it while working for one of the most profitable companies on the planet. You will not share in the profits as a support worker. ""It's not a job at Target"" was actually said to us in a briefing.",5 people found this review helpful
Lack of transparency. Does not care about players or employees,"Apr 16, 2021 - Customer Service Representative in Raleigh, NC",1,"Working from home, weekly pay","Low pay. Managerial expectations do not match workload. Permanent employees are lazy and do not pull their weight. Management is aware of permanent employees not performing quality work but ignores them. Management constantly asks how they can be better, but completely ignores suggestions from employees. Management plays favorites and only provides career advancement to those who are willing to play their games. 90% if not more of this job is copy - pasting responses over and over until the players are left with no choice but to chat their support chat. Management gets upset when you spend more than 5 minutes with a player explaining to them why our games are so broken, and that they just need to ""wait"" until we can resolve their issue. The permanent employee's are lazy, and refuse to perform their jobs correctly. Instead they will push cases and chats to the temporary agents to perform instead. As a temporary agent, you will be worked extensively, with no set schedule, and will be lied to about your career advancement with this company.",3 people found this review helpful
Good Entry Level Job,"Mar 20, 2021 - Customer Service Representative in Cary, NC",3,"Coworkers, gamer perks, community parties","Management, micromanaging, required goals to meet",1 person found this review helpful
Fun industry,"Feb 19, 2021 - Marketing Manager",4,"Dynamic company founded 30 years ago, keep innovating in games","big corporate management, it can take time to deal with approvals and moving forward with projects",1 person found this review helpful
Not great,"Mar 5, 2021 - Media Manager",3,you get to work on the biggest titles,very slow processes and old school mindset,1 person found this review helpful
Good place to work aside from the pay,"Feb 19, 2021 - Monetization Manager",4,Very stable job Good coworkers Decent perks,Not too much variety in games They pay way under market value,Be the first to find this review helpful
s,"Mar 4, 2021 - Sethaewg",3,There was some good stuff.,There was some other stuff.,Be the first to find this review helpful
Terribly Managed,"Mar 24, 2021 - Customer Support Representative in Morrisville, NC",1,Ok Pay and acceptable hours,Upper management plays favorites and will only promote those who play their games. All of the knowledgeable and experienced agents are forced out and replaced with undertrained new people,2 people found this review helpful
Great Company for Parents and WLB,"Jan 22, 2021 - Analyst",4,WLB is typically very good Managers and Leadership is considerate Flexibility for parents has been shown,Career progression Total Compensation (no RSUs at least at the Analyst level) Internal transfers are difficult,Be the first to find this review helpful
Good place to work,"Jan 22, 2021 - Accounting",4,Great culture and co workers,Lower pay than average in Bay Area.,Be the first to find this review helpful
I absolutely love working at Ubisoft,"Jan 20, 2021 - Public Relations Specialist in San Francisco, CA",5,"The people, the work life balance, communication within teams","Company is very large, history of workplace abuse at other studios",Be the first to find this review helpful
Improvements Slow but Still a Fun Place,"Jan 28, 2021 - Associate Director",3,"Work-life balance, casual environment, freedom to explore side projects","Very political ""family"" environment, toxic managers permitted to stay, siloed departments, entertainment industry egos",Be the first to find this review helpful
Data Analyst,"Jan 9, 2021 - Data Analyst in San Francisco, CA",4,"Interesting projects, good team environment",Lower salary compared to similar companies,1 person found this review helpful
"Great company, awesome coworkers, poor pay","Jan 10, 2021 - Ubisoft in Cary, NC",4,"Open-minded environment, good benefits, amazing coworkers, excellent management (under the right team), ability to excel.","The pay is insanely low for what you have to deal with on a daily basis along with the skills they expect you to perform. Considering how much money the company makes, it's a bit insulting that the customer support reps aren't being paid more.",Be the first to find this review helpful
"Amazing Games, Amazing People, International Complications","Jan 11, 2021 - Account Manager in San Francisco, CA",4,Full of passionate gamers with an established track record.,Headquarters in Paris creates zone complications.,Be the first to find this review helpful
"Great people, start-up feel, no onboarding, overworked.","Jan 13, 2021 - Brand Manager in San Francisco, CA",2,"Great people, super fun and casual, travel (based on position).","No benefits, unprofessional workplace, start-up feel, no onboarding, boys club.",2 people found this review helpful
"Make a plan, use it","Feb 1, 2021 - Project Manager in South San Francisco, CA",1,"free games, free t-shirts, diverse at staff level","reactive, unfocused, debris falls from the ceiling on to your head",3 people found this review helpful
"Not the best, not the worst","Jan 8, 2021 - Senior Specialist in Cary, NC",3,Modern culture Work from home,Very low pay in the market Toxic work culture,Be the first to find this review helpful
Okay job,"Jan 5, 2021 - Anonymous Employee in Cary, NC",3,- Flexible schedule - Friendly work environment,- Low pay - Lack of growth opportunities,Be the first to find this review helpful
Great Company to work for.,"Dec 16, 2020 - Lead Environment Artist in San Francisco, CA",5,Open studio culture that encourages sharing of technology. Great compensation.,No real cons for me at the moment.,Be the first to find this review helpful
Great company,"Dec 13, 2020 - Web Developer in Detroit, MI",5,"Great office and team, cool senior management","No bonuses, a lot of routine tasks",Be the first to find this review helpful
Good job,"Dec 7, 2020 - Senior Software Engineer in Los Angeles, CA",5,"Good work, great people job",no problems to company l,Be the first to find this review helpful
Love working here,"Nov 14, 2020 - Senior Accountant",5,"Company culture, great environment to work in",Not a whole lot I can think of,Be the first to find this review helpful
Fun place to work,"Nov 12, 2020 - Data Analyst in San Francisco, CA",4,"The people were friendly, passionate about their work, and there were lots of fun parties and events going on all the time","It's hard to think of a con, but perhaps compared to other places I worked, the pace was a little slower, complacent rather than driven and always innovating",Be the first to find this review helpful
sâs,"Nov 5, 2020 - OCES/DGFS in Cambridge, MA",5,nice place cool good well,low pay is the problem,1 person found this review helpful
Good company to start you career,"Oct 26, 2020 - Designer",4,Good place to learn how to make games in a big team,Creativity is confined with formality sometimes,Be the first to find this review helpful
Salary,"Nov 6, 2020 - 3D Character Artist in New York, NY",3,"Friendly environment, learn new skill",bad management & no clear direction stuff.,Be the first to find this review helpful
Good overall,"Oct 7, 2020 - Computer Programmer in Raleigh, NC",5,the people were very friendly to work at,i cant really say their were any cons overall,Be the first to find this review helpful
Ubisoft company review,"Oct 6, 2020 - Software Engineer in San Francisco, CA",5,Good atmosphere Great team communication Uplifting work environment Great staff and directors Amazing projects,Lack of accessibility Strict times Hard to work on a bad day,Be the first to find this review helpful
hard work but good money,"Sep 23, 2020 - Program Manager in Seattle, WA",4,money and insurance and people are great,hard long hours and rude bosses,1 person found this review helpful
Best company to be with,"Sep 16, 2020 - Anonymous Employee",5,best work enviornment to work for,salary is a bit low but rest benefits compensate for it,Be the first to find this review helpful
sda,"Sep 22, 2020 - Programmer in New York, NY",2,Best company to work with.,Chalenging work and long hours,1 person found this review helpful
"International, fun gaming company","Aug 29, 2020 - Senior Director IT in San Francisco, CA",4,Creative company and fun work environment. Plenty of opportunity for growth and mobility. Lots of interesting technical challenges to work on.,Inefficient company operations with competing groups internally. French-led company with some bias towards French top leadership.,2 people found this review helpful
Good and bad,"Sep 14, 2020 - Anonymous Employee in San Francisco, CA",3,Support work and life balance,Salary is not as competitive as other tech companies.,1 person found this review helpful
Good culture fit,"Aug 28, 2020 - Business Analyst in Los Angeles, CA",4,Progressive with a very accepting community,Sometimes days get repetitive if no creative work,Be the first to find this review helpful
Great workspace,"Jul 11, 2020 - Software Engineer in New York, NY",3,You get to do what you love ofc if you are into games and all Free food and good atmosphere nice people and all,You get bored after a while,Be the first to find this review helpful
Terrible employer,"Jul 24, 2020 - Customer Support Manager in Morrisville, NC",1,50% of the coworkers were cool,"Management, HR, amenities, pay was awful",2 people found this review helpful
"Creative, exciting job in the growing tech industry of RDU area","Jun 10, 2020 - Human Resources Specialist in Cary, NC",5,"A progressive, inclusive fast-paced company with great benefits and perks. Brand new office building located in a perfectly convenient area in Cary near RDU. Opportunities to grow positions or move within the company easily based on productivity and overall performance.","There is misunderstood turnover due to the seasonal/contract positions, but the full time permanent staff is much more consistent.",Be the first to find this review helpful
Good company culture with healthy work-life balance,"May 13, 2020 - Senior Research Analyst",5,"Large but open-minded, and healthy work environment. Good collaboration between teams and excellent work life balance (not too hectic / fast-paced)","Solid benefits (maybe not as competitive as those from the tech industry), and processes can sometimes be very unidirectional (less room / time for creative approaches, more repetitive tasks). The company sits somewhere between a large corporation and a fast paced tech setting",Be the first to find this review helpful
good learning,"Mar 5, 2020 - 3D Artist in Santa Rosa, CA",3,learn the industry standards and meet other artists,unrealistic expectations on task and demand for little roi,Be the first to find this review helpful
Do not apply,"Mar 11, 2020 - Customer Support Representative in Cary, NC",1,You do not have to work standing 8 hours,"Everything else. You are expected to work like a robot copying and pasting answers which 99% of the time does not resolve the customer concerns. Also, because of unrealistic metrics, no one takes the time to figure out real solutions. The environment became as toxic as it could be, and everyone started to hate coming to work. No one want to even do overtime when it is offered. Pay is very low compared to industry for work and the. If you can make a decent wage somewhere else, I highly recommend to not apply because you will regret quitting your job for this. You will start getting weekly harassing emails from your manager telling how bad you are doing even though you have never received training that shows you how to handle those type issues. Monthly you will discussions your failures and how to improve and you will get written up. You will mostly likely get let go in few months. I have seen thousands of people come and go, some were fired and most left before they get fired. I loved working for this company when started, however things are getting worst after every upper management meeting and the only one affected are the ones at the bottom. Believe me when I say this, you will regret quitting your full time for this job. If you currently have a par time or temporary job somewhere else and needs stable pay and benefits, you could give this job a try temporarily till you find something better but do not think you will be in this job for years.",8 people found this review helpful
Analyst,"Oct 26, 2019 - Anonymous Employee in San Francisco, CA",5,very good work and life balance,sometimes things gets too slow,Be the first to find this review helpful
Good place to work on the business side,"Aug 12, 2019 - Senior Analyst in San Francisco, CA",4,"Decent pay, great team members, fun place to work",Lacks in leadership. Can you arrogant at times.,1 person found this review helpful
A learning experience,"Aug 10, 2019 - in Morrisville, NC",4,Great people. Good atmosphere. Food,A lot of temporary employment,1 person found this review helpful
