title,author_type,content,rating,pros,cons
"Great co-workers, very low pay","Player Support (Current Employee) - Cary, NC - December 22, 2021",Co-workers are nice and willing to help out. Direct leadership seems to care and be grounded. Pay is incredibly low for the industry and that’s company wide.,3,"",""
Good,"Junior Game Tester (Former Employee) - India - May 7, 2022","It was a fun experience at Ubisoft, had worked there for 2 years as a Game Tester and worked with some really good people. The team was great, good breakfast. The wages could've been slightly better.",5,Free breakfast,Pay
Good work life balance,"Junior Game Tester (Current Employee) - Pune, Maharashtra - May 4, 2022","Work time is 8:30 - 5:30 including breaks, good learning opportunity, management is also good, the most enjoyable part is you have to play game, what else we want",4,subsidized lunch,salary/increment
Overall best company,"Game Tester (Current Employee) - Pune, Maharashtra - January 25, 2022","Best company to work..But salary is less because now a days all survival things are costly and very much difficult to live in this salary..I feel that employer will definitely think over this matter..if it increase, emlployees will be too much happy as they could live in a good life style self and for their family..Otherwise best company in the world.",5,Nice company for employees,Nothing
Not tailored for seniors,"Programmer (Former Employee) - California - January 13, 2022","Waterfall management style coupled with limited amount of challenges, deprecated tech and non-existent communication between the various entities that make up the company.",2,"Good work/life balance, but that's mostly due to the lack of challenges. Acceptable remuneration. Brands, I guess ?",Waterfall management style Deprecated tooling Toxic politic between various teams and studios
Company growing too fastManagement getting worst and worst,"Programmer (Current Employee) - Malmö - December 12, 2021",Lot of good peopletech is okProjects interestingStudio growing way too fastBig culture gap between projectsMore and more politicsDon't stay too long there: management will screw you soon or later,3,Most colleagues are friendly and professional,Some teams are toxic Producers are short sighted
Good place to be at since more then 10 years,"Technical Lead (Current Employee) - Montréal, QC - December 2, 2021",Started at end 20s and been here for more then 10 years in the IT. - Since covid we now work from home most of the type (optional to be a office)- Good salary benifit now- Very nice work life balance (unlimited sickness days also if needed),5,Expect overtime (not paid),""
Everyone is leaving,"Developer (Former Employee) - Malmö - November 14, 2021",-Low pay- High turnover- No growth opportunities- Organization continues to disregard employees concerns- Toxic culture,1,"",""
Very bad place to work,"Developer (Former Employee) - Malmö - October 24, 2021",+ Only positive thing I can say is that I got a foot into the industry.Some of the negatives:- Low pay- Toxic managers- High turnover (everyone is leaving)It's a horrible place to work and their culture of institutional harassment is very real and very bad.,1,"",""
Terrible place,"Developer (Former Employee) - Malmö - September 19, 2021","I simply cannot recommend Ubisoft to anyone. In fact, I feel that I have an obligation to warn people about the place.Stay away!",1,"",""
Terrible organization with no values,"Developer (Former Employee) - Malmö - August 22, 2021","Working at Ubisoft was probably the worst experience of my life. The pay is low, the projects are horribly managed resulting in lots of crunch, and there is an abundance of nepotism and infighting.The cat came out of the bag last year when multiple outlets wrote revealing pieces about what a toxic workplace Ubisoft is. And I am absolutely convinced that Ubisoft will never change its ways. If they take any steps it will be to salvage their reputation, but the toxicity will never stop since it is ingrained into the depths of their culture.",1,"Nepotism, low pay, toxic culture, abusive environment",""
Good place to work with good money,"Customer Support Specialist (Current Employee) - Morrisville, NC - June 9, 2021",There are good people here and I trust my leads and supervisors. I have been here a while and I feel recognized in my job and my expertise. It also has good upward mobility.,5,"",""
Overall a good place with good people,"Marketing Assistant (Former Employee) - San Francisco Bay Area, CA - June 3, 2021","Temp worker here. Was involved in many of the full-time worker activities. Overall a very solid work culture, 9 to 5, with people who were passionate about working at Ubisoft. It seems hard to get converted to a full-time employee, however.",4,"",""
Bad experience,"Developer (Former Employee) - Malmö - May 30, 2021",Did not have a good time there. Saw some disturbing things during my time there. Currently cannot recommend working there to anyone.,1,"Worked on some big AAA projects which was a cool experience, met some cool people","Low pay, lots of nepotism, dishonest managers, bad culture, a lot of people leaving in the past months/year"
